Gene		GRCP	GLCP
ENSG00000006837		7.372e-04	7.372e-04
ENSG00000011083		5.820e-04	5.820e-04
ENSG00000013561		5.044e-04	5.044e-04
ENSG00000015479		1.707e-03	1.707e-03
ENSG00000016082		1.552e-03	1.552e-03
ENSG00000019582		1.862e-03	1.862e-03
ENSG00000027847		4.656e-04	4.656e-04
ENSG00000028310		8.651e-01	9.740e-01
ENSG00000031003		2.792e-03	2.792e-03
ENSG00000035499		3.104e-03	3.104e-03
ENSG00000037241		1.203e-03	1.203e-03
ENSG00000037280		6.984e-04	6.984e-04
ENSG00000037474		8.701e-01	8.889e-01
ENSG00000037749		1.978e-03	1.978e-03
ENSG00000038274		3.104e-03	3.104e-03
ENSG00000038382		4.275e-02	4.303e-02
ENSG00000038427		2.211e-03	2.211e-03
ENSG00000039123		2.600e-03	2.600e-03
ENSG00000039139		3.141e-03	3.141e-03
ENSG00000039319		1.435e-03	1.435e-03
ENSG00000039537		2.017e-03	2.017e-03
ENSG00000039560		3.220e-03	3.220e-03
ENSG00000039600		1.435e-03	1.435e-03
ENSG00000040275		1.901e-03	1.901e-03
ENSG00000043143		1.048e-03	1.048e-03
ENSG00000043462		9.999e-01	1.000e+00
ENSG00000044115		2.716e-03	2.716e-03
ENSG00000047188		4.342e-03	4.342e-03
ENSG00000048140		1.940e-04	1.940e-04
ENSG00000048162		1.862e-03	1.862e-03
ENSG00000049167		5.820e-04	5.820e-04
ENSG00000049192		1.164e-03	1.164e-03
ENSG00000049656		2.444e-03	2.444e-03
ENSG00000049860		2.637e-03	2.637e-03
ENSG00000049883		3.880e-04	3.880e-04
ENSG00000050748		1.978e-03	1.978e-03
ENSG00000050767		2.288e-03	2.288e-03
ENSG00000051596		5.432e-04	5.432e-04
ENSG00000053108		5.044e-04	5.044e-04
ENSG00000055147		1.164e-03	1.164e-03
ENSG00000055163		3.218e-03	3.218e-03
ENSG00000056097		2.716e-04	2.716e-04
ENSG00000058729		4.342e-03	4.342e-03
ENSG00000061455		1.125e-03	1.125e-03
ENSG00000062194		2.328e-03	2.328e-03
ENSG00000063438		1.280e-03	1.280e-03
ENSG00000064651		2.226e-01	3.242e-01
ENSG00000064652		2.328e-04	2.328e-04
ENSG00000064692		3.312e-01	3.313e-01
ENSG00000066230		2.288e-03	2.288e-03
ENSG00000066583		2.289e-03	2.289e-03
ENSG00000067113		1.125e-03	1.125e-03
ENSG00000067248		2.831e-03	2.831e-03
ENSG00000068796		3.880e-04	3.880e-04
ENSG00000069011		1.048e-03	1.048e-03
ENSG00000069020		4.540e-03	4.540e-03
ENSG00000070193		5.044e-04	5.044e-04
ENSG00000070614		1.242e-03	1.242e-03
ENSG00000070808		3.093e-01	3.146e-01
ENSG00000070814		5.820e-04	5.820e-04
ENSG00000071539		1.824e-03	1.824e-03
ENSG00000072364		2.328e-04	2.328e-04
ENSG00000072571		2.521e-03	2.521e-03
ENSG00000072682		9.942e-01	9.982e-01
ENSG00000072786		2.133e-03	2.133e-03
ENSG00000072803		1.009e-03	1.009e-03
ENSG00000073578		1.125e-03	1.125e-03
ENSG00000074276		1.164e-04	1.164e-04
ENSG00000074317		1.668e-03	1.668e-03
ENSG00000078295		9.042e-01	9.998e-01
ENSG00000078795		2.328e-04	2.328e-04
ENSG00000079215		2.133e-03	2.133e-03
ENSG00000080709		1.785e-03	1.785e-03
ENSG00000081059		1.358e-03	1.358e-03
ENSG00000081189		6.286e-03	6.286e-03
ENSG00000081791		4.346e-03	4.346e-03
ENSG00000081818		2.250e-03	2.250e-03
ENSG00000081842		6.595e-04	6.595e-04
ENSG00000081853		3.876e-03	3.876e-03
ENSG00000082068		1.707e-03	1.707e-03
ENSG00000082074		1.227e-03	1.228e-03
ENSG00000082196		8.905e-03	8.905e-03
ENSG00000082213		9.727e-01	9.987e-01
ENSG00000082515		3.025e-03	3.025e-03
ENSG00000082516		2.947e-03	2.947e-03
ENSG00000083312		2.211e-03	2.211e-03
ENSG00000083720		5.510e-03	5.510e-03
ENSG00000085231		3.412e-03	3.412e-03
ENSG00000085365		1.280e-03	1.280e-03
ENSG00000086189		6.983e-04	6.983e-04
ENSG00000086200		3.880e-04	3.880e-04
ENSG00000086570		5.820e-04	5.820e-04
ENSG00000086589		4.656e-04	4.656e-04
ENSG00000087116		1.164e-03	1.164e-03
ENSG00000087206		3.880e-04	3.880e-04
ENSG00000091009		6.595e-04	6.595e-04
ENSG00000091010		5.044e-04	5.044e-04
ENSG00000092421		5.662e-03	5.662e-03
ENSG00000094755		4.986e-01	5.895e-01
ENSG00000094880		7.371e-04	7.371e-04
ENSG00000095015		3.064e-03	3.064e-03
ENSG00000112851		7.371e-04	7.371e-04
ENSG00000112852		1.125e-03	1.125e-03
ENSG00000112855		2.716e-04	2.716e-04
ENSG00000112874		5.118e-03	5.118e-03
ENSG00000112877		4.461e-03	4.461e-03
ENSG00000112893		6.207e-04	6.207e-04
ENSG00000112902		8.535e-04	8.535e-04
ENSG00000112936		1.978e-03	1.978e-03
ENSG00000112941		8.148e-04	8.148e-04
ENSG00000112964		1.656e-01	2.510e-01
ENSG00000112972		1.784e-03	1.784e-03
ENSG00000112977		1.164e-03	1.164e-03
ENSG00000112981		3.880e-04	3.880e-04
ENSG00000112983		9.200e-01	9.915e-01
ENSG00000112984		3.104e-04	3.104e-04
ENSG00000112992		8.148e-04	8.148e-04
ENSG00000112996		1.668e-03	1.668e-03
ENSG00000113013		3.420e-03	3.593e-03
ENSG00000113048		1.474e-03	1.474e-03
ENSG00000113068		1.009e-03	1.009e-03
ENSG00000113070		1.940e-04	1.940e-04
ENSG00000113073		2.055e-03	2.055e-03
ENSG00000113083		3.413e-03	3.413e-03
ENSG00000113088		1.474e-03	1.474e-03
ENSG00000113108		2.018e-03	2.018e-03
ENSG00000113119		9.699e-04	9.699e-04
ENSG00000113140		4.535e-03	4.535e-03
ENSG00000113141		1.552e-03	1.552e-03
ENSG00000113161		2.328e-04	2.328e-04
ENSG00000113163		1.280e-03	1.280e-03
ENSG00000113194		3.569e-03	3.569e-03
ENSG00000113205		4.732e-03	4.732e-03
ENSG00000113209		2.676e-03	2.676e-03
ENSG00000113211		9.871e-01	9.990e-01
ENSG00000113212		2.792e-03	2.792e-03
ENSG00000113231		6.207e-04	6.207e-04
ENSG00000113240		1.784e-03	1.784e-03
ENSG00000113248		1.862e-03	1.862e-03
ENSG00000113249		9.312e-04	9.312e-04
ENSG00000113262		9.698e-04	9.698e-04
ENSG00000113263		7.246e-01	8.202e-01
ENSG00000113269		7.372e-04	7.372e-04
ENSG00000113272		4.537e-03	4.537e-03
ENSG00000113273		5.044e-04	5.044e-04
ENSG00000113282		1.939e-03	1.939e-03
ENSG00000113296		8.148e-04	8.148e-04
ENSG00000113300		1.900e-03	1.900e-03
ENSG00000113302		1.513e-03	1.513e-03
ENSG00000113303		2.715e-03	2.715e-03
ENSG00000113312		1.164e-03	1.164e-03
ENSG00000113318		7.371e-04	7.371e-04
ENSG00000113319		1.203e-03	1.203e-03
ENSG00000113328		4.496e-03	4.496e-03
ENSG00000113356		1.552e-04	1.552e-04
ENSG00000113360		3.104e-04	3.104e-04
ENSG00000113361		1.436e-03	1.436e-03
ENSG00000113368		1.319e-03	1.319e-03
ENSG00000113369		8.147e-04	8.147e-04
ENSG00000113384		3.880e-04	3.880e-04
ENSG00000113387		3.839e-03	3.839e-03
ENSG00000113389		8.536e-04	8.536e-04
ENSG00000113391		8.534e-04	8.534e-04
ENSG00000113396		3.104e-04	3.104e-04
ENSG00000113407		2.095e-03	2.095e-03
ENSG00000113441		1.591e-03	1.591e-03
ENSG00000113448		8.535e-04	8.535e-04
ENSG00000113456		8.535e-04	8.535e-04
ENSG00000113460		1.209e-02	1.889e-02
ENSG00000113494		5.889e-03	5.889e-03
ENSG00000113504		2.133e-03	2.133e-03
ENSG00000113522		4.966e-03	4.966e-03
ENSG00000113532		4.268e-04	4.268e-04
ENSG00000113552		2.017e-03	2.017e-03
ENSG00000113555		9.700e-04	9.700e-04
ENSG00000113558		5.044e-04	5.044e-04
ENSG00000113569		1.526e-01	1.711e-01
ENSG00000113575		2.443e-03	2.443e-03
ENSG00000113578		1.009e-03	1.009e-03
ENSG00000113580		5.819e-04	5.819e-04
ENSG00000113583		2.869e-03	2.869e-03
ENSG00000113593		2.443e-03	2.443e-03
ENSG00000113594		4.656e-04	4.656e-04
ENSG00000113595		1.358e-03	1.358e-03
ENSG00000113597		8.147e-04	8.147e-04
ENSG00000113600		5.432e-04	5.432e-04
