Gene		GRCP	GLCP
ENSG00000006837		1.517e-09	1.629e-09
ENSG00000011083		1.200e-08	1.515e-08
ENSG00000013561		2.599e-09	2.708e-09
ENSG00000015479		5.345e-09	6.122e-09
ENSG00000016082		5.826e-09	1.142e-08
ENSG00000019582		1.065e-08	1.074e-08
ENSG00000027847		6.455e-09	6.715e-09
ENSG00000028310		1.087e-08	1.276e-08
ENSG00000031003		5.222e-09	7.658e-09
ENSG00000035499		5.791e-09	5.933e-09
ENSG00000037241		1.040e-08	1.493e-08
ENSG00000037280		2.340e-09	3.005e-09
ENSG00000037474		5.310e-09	5.697e-09
ENSG00000037749		3.089e-09	6.473e-09
ENSG00000038274		1.041e-08	1.558e-08
ENSG00000038382		5.335e-09	5.448e-09
ENSG00000038427		1.042e-08	1.119e-08
ENSG00000039123		5.030e-09	5.721e-09
ENSG00000039139		9.656e-03	9.763e-03
ENSG00000039319		5.288e-09	6.599e-09
ENSG00000039537		7.084e-09	8.848e-09
ENSG00000039560		6.867e-10	8.464e-10
ENSG00000039600		5.878e-09	6.331e-09
ENSG00000040275		6.199e-09	9.197e-09
ENSG00000043143		5.651e-09	5.773e-09
ENSG00000043462		5.184e-09	5.185e-09
ENSG00000044115		1.043e-08	1.257e-08
ENSG00000047188		5.409e-09	7.450e-09
ENSG00000048140		5.347e-09	5.356e-09
ENSG00000048162		5.368e-09	5.563e-09
ENSG00000049167		3.434e-09	5.507e-09
ENSG00000049192		5.397e-09	5.567e-09
ENSG00000049656		7.411e-10	9.361e-10
ENSG00000049860		5.153e-09	5.534e-09
ENSG00000049883		6.697e-09	8.423e-09
ENSG00000050748		2.175e-09	2.344e-09
ENSG00000050767		3.809e-01	4.339e-01
ENSG00000051596		6.898e-09	7.427e-09
ENSG00000053108		3.262e-03	4.451e-03
ENSG00000055147		5.570e-10	5.976e-10
ENSG00000055163		5.051e-09	5.318e-09
ENSG00000056097		1.417e-09	2.163e-09
ENSG00000058729		5.335e-09	7.137e-09
ENSG00000061455		1.040e-08	1.057e-08
ENSG00000062194		1.079e-08	1.129e-08
ENSG00000063438		1.374e-09	1.671e-09
ENSG00000064651		9.601e-09	1.207e-08
ENSG00000064652		8.590e-09	1.066e-08
ENSG00000064692		8.313e-10	9.352e-10
ENSG00000066230		1.086e-08	1.178e-08
ENSG00000066583		5.391e-09	5.977e-09
ENSG00000067113		1.897e-10	2.093e-10
ENSG00000067248		5.237e-09	5.348e-09
ENSG00000068796		5.617e-09	5.887e-09
ENSG00000069011		5.223e-09	5.498e-09
ENSG00000069020		5.214e-09	5.819e-09
ENSG00000070193		5.109e-09	1.624e-08
ENSG00000070614		1.509e-10	1.579e-10
ENSG00000070808		4.786e-10	5.174e-10
ENSG00000070814		5.414e-09	5.471e-09
ENSG00000071539		1.248e-09	2.921e-09
ENSG00000072364		1.114e-08	1.361e-08
ENSG00000072571		8.458e-02	1.795e-01
ENSG00000072682		4.978e-09	1.023e-08
ENSG00000072786		4.376e-09	8.038e-09
ENSG00000072803		4.801e-09	1.316e-08
ENSG00000073578		5.800e-09	5.830e-09
ENSG00000074276		2.217e-09	2.732e-09
ENSG00000074317		6.267e-09	6.433e-09
ENSG00000078295		1.798e-04	1.798e-04
ENSG00000078795		3.293e-06	3.293e-06
ENSG00000079215		1.041e-08	1.344e-08
ENSG00000080709		5.229e-09	7.860e-09
ENSG00000081059		5.171e-09	5.984e-09
ENSG00000081189		7.361e-09	1.748e-08
ENSG00000081791		1.075e-08	1.672e-08
ENSG00000081818		1.043e-08	1.706e-08
ENSG00000081842		5.235e-09	6.054e-09
ENSG00000081853		5.540e-09	9.040e-09
ENSG00000082068		5.211e-09	5.211e-09
ENSG00000082074		1.013e-08	1.145e-08
ENSG00000082196		1.034e-08	1.915e-08
ENSG00000082213		1.049e-10	1.082e-10
ENSG00000082515		5.792e-09	9.201e-09
ENSG00000082516		5.203e-09	5.478e-09
ENSG00000083312		4.441e-09	7.334e-09
ENSG00000083720		6.663e-09	1.078e-08
ENSG00000085231		8.340e-09	1.129e-08
ENSG00000085365		5.320e-09	5.358e-09
ENSG00000086189		1.108e-08	1.456e-08
ENSG00000086200		5.254e-09	5.255e-09
ENSG00000086570		5.370e-09	5.431e-09
ENSG00000086589		5.195e-09	1.038e-08
ENSG00000087116		5.968e-09	6.031e-09
ENSG00000087206		8.498e-09	1.039e-08
ENSG00000091009		1.096e-08	1.339e-08
ENSG00000091010		1.041e-08	1.212e-08
ENSG00000092421		5.509e-09	6.919e-09
ENSG00000094755		5.218e-09	5.218e-09
ENSG00000094880		1.063e-08	1.108e-08
ENSG00000095015		5.221e-09	6.864e-09
ENSG00000112851		5.213e-09	5.214e-09
ENSG00000112852		6.772e-09	7.026e-09
ENSG00000112855		9.468e-09	1.056e-08
ENSG00000112874		3.841e-02	9.119e-02
ENSG00000112877		1.065e-08	1.071e-08
ENSG00000112893		5.238e-09	5.238e-09
ENSG00000112902		1.043e-08	1.301e-08
ENSG00000112936		5.345e-09	7.764e-09
ENSG00000112941		5.273e-09	5.273e-09
ENSG00000112964		6.034e-10	7.269e-10
ENSG00000112972		5.322e-09	5.607e-09
ENSG00000112977		6.127e-09	7.015e-09
ENSG00000112981		5.471e-09	9.227e-09
ENSG00000112983		6.240e-10	7.939e-10
ENSG00000112984		1.080e-08	1.112e-08
ENSG00000112992		9.720e-09	1.525e-08
ENSG00000112996		5.575e-09	6.938e-09
ENSG00000113013		1.104e-08	1.122e-08
ENSG00000113048		8.086e-09	1.004e-08
ENSG00000113068		8.721e-11	9.018e-11
ENSG00000113070		1.073e-08	1.141e-08
ENSG00000113073		3.109e-11	3.134e-11
ENSG00000113083		5.217e-09	5.382e-09
ENSG00000113088		1.041e-08	1.124e-08
ENSG00000113108		5.208e-09	5.482e-09
ENSG00000113119		1.043e-08	1.196e-08
ENSG00000113140		3.815e-11	3.842e-11
ENSG00000113141		3.300e-05	4.475e-05
ENSG00000113161		5.505e-09	6.317e-09
ENSG00000113163		3.199e-01	3.647e-01
ENSG00000113194		5.354e-09	6.071e-09
ENSG00000113205		1.041e-08	1.085e-08
ENSG00000113209		1.042e-08	1.087e-08
ENSG00000113211		1.036e-08	1.833e-08
ENSG00000113212		9.791e-09	1.208e-08
ENSG00000113231		1.505e-08	1.828e-08
ENSG00000113240		1.520e-08	1.765e-08
ENSG00000113248		6.248e-09	9.868e-09
ENSG00000113249		1.143e-08	1.293e-08
ENSG00000113262		3.872e-09	4.384e-09
ENSG00000113263		2.586e-09	2.951e-09
ENSG00000113269		5.375e-09	7.584e-09
ENSG00000113272		1.498e-10	1.547e-10
ENSG00000113273		5.338e-09	7.882e-09
ENSG00000113282		5.216e-09	5.656e-09
ENSG00000113296		2.404e-10	3.427e-10
ENSG00000113300		9.848e-10	1.269e-09
ENSG00000113302		5.959e-11	6.088e-11
ENSG00000113303		5.472e-09	8.002e-09
ENSG00000113312		4.472e-09	4.888e-09
ENSG00000113318		7.219e-01	7.219e-01
ENSG00000113319		2.002e-09	2.492e-09
ENSG00000113328		1.101e-08	1.244e-08
ENSG00000113356		1.065e-08	1.152e-08
ENSG00000113360		4.108e-10	6.059e-10
ENSG00000113361		1.061e-08	1.220e-08
ENSG00000113368		1.038e-08	1.940e-08
ENSG00000113369		4.925e-09	6.444e-09
ENSG00000113384		5.856e-09	5.907e-09
