Gene		GRCP	GLCP
ENSG00000006837		2.551e-09	2.738e-09
ENSG00000011083		2.018e-08	2.545e-08
ENSG00000013561		4.371e-09	4.553e-09
ENSG00000015479		8.992e-09	1.029e-08
ENSG00000016082		9.801e-09	1.914e-08
ENSG00000019582		1.792e-08	1.806e-08
ENSG00000027847		1.086e-08	1.129e-08
ENSG00000028310		1.828e-08	2.144e-08
ENSG00000031003		8.784e-09	1.285e-08
ENSG00000035499		9.742e-09	9.979e-09
ENSG00000037241		1.750e-08	2.505e-08
ENSG00000037280		3.936e-09	5.046e-09
ENSG00000037474		8.933e-09	9.579e-09
ENSG00000037749		5.195e-09	1.084e-08
ENSG00000038274		1.751e-08	2.614e-08
ENSG00000038382		8.974e-09	9.163e-09
ENSG00000038427		1.753e-08	1.882e-08
ENSG00000039123		8.462e-09	9.615e-09
ENSG00000039139		1.614e-02	1.631e-02
ENSG00000039319		8.896e-09	1.108e-08
ENSG00000039537		1.192e-08	1.486e-08
ENSG00000039560		1.155e-09	1.421e-09
ENSG00000039600		9.889e-09	1.064e-08
ENSG00000040275		1.043e-08	1.543e-08
ENSG00000043143		9.506e-09	9.709e-09
ENSG00000043462		8.721e-09	8.722e-09
ENSG00000044115		1.755e-08	2.112e-08
ENSG00000047188		9.099e-09	1.250e-08
ENSG00000048140		8.994e-09	9.010e-09
ENSG00000048162		9.031e-09	9.356e-09
ENSG00000049167		5.776e-09	9.234e-09
ENSG00000049192		9.079e-09	9.362e-09
ENSG00000049656		1.246e-09	1.572e-09
ENSG00000049860		8.668e-09	9.304e-09
ENSG00000049883		1.127e-08	1.414e-08
ENSG00000050748		3.659e-09	3.940e-09
ENSG00000050767		4.947e-01	5.629e-01
ENSG00000051596		1.160e-08	1.249e-08
ENSG00000053108		5.470e-03	7.449e-03
ENSG00000055147		9.368e-10	1.004e-09
ENSG00000055163		8.497e-09	8.943e-09
ENSG00000056097		2.383e-09	3.628e-09
ENSG00000058729		8.975e-09	1.198e-08
ENSG00000061455		1.750e-08	1.778e-08
ENSG00000062194		1.816e-08	1.899e-08
ENSG00000063438		2.311e-09	2.806e-09
ENSG00000064651		1.615e-08	2.027e-08
ENSG00000064652		1.445e-08	1.791e-08
ENSG00000064692		1.398e-09	1.571e-09
ENSG00000066230		1.827e-08	1.981e-08
ENSG00000066583		9.068e-09	1.005e-08
ENSG00000067113		3.190e-10	3.517e-10
ENSG00000067248		8.809e-09	8.995e-09
ENSG00000068796		9.448e-09	9.899e-09
ENSG00000069011		8.787e-09	9.246e-09
ENSG00000069020		8.772e-09	9.780e-09
ENSG00000070193		8.595e-09	2.717e-08
ENSG00000070614		2.537e-10	2.654e-10
ENSG00000070808		8.050e-10	8.695e-10
ENSG00000070814		9.107e-09	9.203e-09
ENSG00000071539		2.098e-09	4.890e-09
ENSG00000072364		1.875e-08	2.286e-08
ENSG00000072571		1.246e-01	2.633e-01
ENSG00000072682		8.374e-09	1.714e-08
ENSG00000072786		7.361e-09	1.347e-08
ENSG00000072803		8.077e-09	2.203e-08
ENSG00000073578		9.757e-09	9.807e-09
ENSG00000074276		3.730e-09	4.588e-09
ENSG00000074317		1.054e-08	1.082e-08
ENSG00000078295		3.011e-04	3.011e-04
ENSG00000078795		5.536e-06	5.538e-06
ENSG00000079215		1.751e-08	2.256e-08
ENSG00000080709		8.797e-09	1.319e-08
ENSG00000081059		8.699e-09	1.005e-08
ENSG00000081189		1.238e-08	2.926e-08
ENSG00000081791		1.808e-08	2.804e-08
ENSG00000081818		1.754e-08	2.861e-08
