     a0	     a1	 p_eqtl	 p_gwas
 -7.724	  4.651		7.674e-04	4.783e-04
 -7.726	  4.647		7.774e-04	4.776e-04
 -7.727	  4.674		7.713e-04	4.779e-04
 -7.725	  4.633		7.791e-04	4.774e-04
 -7.723	  4.651		7.757e-04	4.788e-04
 -7.724	  4.615		7.835e-04	4.778e-04
 -7.723	  4.634		7.730e-04	4.783e-04
 -7.725	  4.657		7.635e-04	4.777e-04
 -7.726	  4.645		7.741e-04	4.773e-04
 -7.726	  4.688		7.735e-04	4.790e-04
 -7.726	  4.653		7.769e-04	4.779e-04
 -7.726	  4.621		7.663e-04	4.765e-04
 -7.724	  4.668		7.769e-04	4.791e-04
 -7.724	  4.674		7.796e-04	4.793e-04
 -7.723	  4.609		7.846e-04	4.781e-04
 -7.724	  4.594		7.807e-04	4.770e-04
 -7.719	  4.594		7.769e-04	4.792e-04
 -7.722	  4.628		7.769e-04	4.787e-04
 -7.721	  4.630		7.791e-04	4.794e-04
 -7.723	  4.598		7.724e-04	4.772e-04
 -7.722	  4.601		7.707e-04	4.776e-04
 -7.724	  4.609		7.746e-04	4.773e-04
 -7.722	  4.663		7.746e-04	4.796e-04
 -7.723	  4.634		7.858e-04	4.787e-04
 -7.721	  4.599		7.735e-04	4.783e-04
