     a0	     a1	 p_eqtl	 p_gwas
 -5.344	  1.469		8.182e-03	4.881e-03
 -5.342	  1.385		8.212e-03	4.880e-03
 -5.339	  1.303		8.106e-03	4.881e-03
 -5.344	  1.443		8.094e-03	4.878e-03
 -5.341	  1.386		8.124e-03	4.883e-03
 -5.341	  1.371		8.188e-03	4.879e-03
 -5.344	  1.436		8.194e-03	4.876e-03
 -5.344	  1.443		8.171e-03	4.877e-03
 -5.346	  1.497		8.165e-03	4.875e-03
 -5.339	  1.317		8.094e-03	4.880e-03
 -5.341	  1.387		8.094e-03	4.884e-03
 -5.339	  1.305		8.359e-03	4.883e-03
 -5.337	  1.252		8.276e-03	4.885e-03
 -5.346	  1.523		8.071e-03	4.879e-03
 -5.343	  1.427		8.147e-03	4.880e-03
 -5.341	  1.367		8.194e-03	4.882e-03
 -5.339	  1.324		8.212e-03	4.883e-03
 -5.341	  1.360		8.318e-03	4.882e-03
 -5.339	  1.325		8.224e-03	4.883e-03
 -5.342	  1.371		8.306e-03	4.880e-03
 -5.344	  1.465		8.176e-03	4.883e-03
 -5.342	  1.382		8.206e-03	4.880e-03
 -5.342	  1.386		8.271e-03	4.879e-03
 -5.342	  1.389		8.200e-03	4.881e-03
 -5.342	  1.416		8.129e-03	4.884e-03
